top_reward,source_sentence,top_sentence,top_recon,top_selfbleu,top_style,sample_id,top_perplexity,ref_sentence,ref_bleu,style_acc,style_prob
65.74996948242188,it's small yet they make you feel right at home.,it's hard to get away with it.,31.67693328857422,4.514617516969122,0.9982300400733948,0,2.173820972442627,it's small yet they make you feel like a stranger.,4.513617516969122,1,0.9991698265075684
68.12739562988281,i will be going back and enjoying this great place!,i will not enjoy any new stuff!,41.933815002441406,8.401788786839631,0.943209707736969,1,5.395900249481201,i won't be going back and suffering at this terrible place!,3.983253478176822,1,0.6810532212257385
94.35526275634766,the drinks were affordable and a good pour.,the drinks were cheap and a good pour.,95.1153793334961,59.69591792019644,0.9359514713287354,2,3.2887356281280518,the drinks were expensive and half full.,20.164945583740657,1,0.8005170226097107
70.02729034423828,"my husband got a ruben sandwich, he loved it.",my husband went to sleep.,40.064884185791016,7.808646168419155,0.9998970031738281,3,3.9267585277557373,"my husband got a reuben sandwich, he hated it.",7.807646168419154,1,0.9996689558029175
82.23429107666016,i signed up for their email and got a coupon.,"i wrote out email, got a coupon.",66.69026184082031,26.450672174138468,0.9777831435203552,4,5.309300422668457,i signed up for their email and got spam.,6.033504141761816,1,0.955866277217865
92.94792938232422,i'd definitely recommend giving them a try.,i'd probably suggest giving them a try.,85.97187805175781,54.10922690539397,0.9992398023605347,5,2.9959475994110107,i'd definitely recommend not giving them a try.,47.750342648354646,1,0.9977042078971863
50.00578689575195,i highly recommend e & m painting.,i highly recommend e & m painting.,99.99996185302734,100.00100000000005,0.00011610984802246094,6,5.058680534362793,i highly recommend avoiding e & m painting.,61.01950432112583,0,0.0002726912498474121
94.83946990966797,otherwise a great experience and we will go again.,otherwise a bad experience and we will go again.,89.70267486572266,70.71167811865479,0.9997625946998596,7,2.9222488403320312,otherwise a terrible experience and we will not go again.,38.31260405050856,1,0.9979138970375061
94.85993194580078,"good drinks, and good company.","bad drinks, and bad company.",89.72616577148438,30.740407647563217,0.9999369382858276,8,3.6310548782348633,"watery drinks, and bad company.",80.91067115702207,1,0.9998395442962646
87.82444763183594,oh i got my band geek back on now!,oh i have to get my band geek back on now!,76.3755874633789,57.068457770559974,0.9927330017089844,9,4.602963447570801,oh i can't get my band geek back on anymore!,48.326978309062184,1,0.9933421015739441
78.72657775878906,i was nervous and she made me feel so comfortable and welcome.,i was terrified and nervous.,57.6584587097168,6.357491690403502,0.9979469180107117,10,4.722949028015137,she did not make me feel welcomed.,5.815868174415823,1,0.9992510676383972
96.27420806884766,great food recommendations steak and tuna were both great.,bad food recommendations steak and tuna were both great.,92.60669708251953,88.01217367933934,0.9994171857833862,11,5.878273010253906,the steak and tuna were not up to par.,27.77619034011791,1,0.9444852471351624
70.85889434814453,everything is fresh and so delicious!,everything is bad,41.72993469238281,14.507309551249303,0.9998785257339478,12,4.636117458343506,everything was so stale.,14.127216461522432,1,0.9997929930686951
94.53839111328125,the biscuits and gravy were good.,the biscuits and gravy were not good.,89.08309173583984,59.4613557501361,0.9999369382858276,13,2.1849067211151123,the biscuits were hard and gravy was bland.,15.25487608028144,1,0.9998334646224976
82.4388427734375,i actually can wait to come back next year!,i just can't wait for the next year!,65.66057586669922,18.04538612975343,0.992171049118042,14,2.7839784622192383,i would not return here next year.,10.552670315936318,0,0.16874158382415771
72.39310455322266,"they were so helpful, kind, and reasonably priced.","they could not get any help from the customers who were so helpful, and were really helpful.",44.79389953613281,15.664840573309688,0.9999231100082397,15,4.641401290893555,"they should've been more helpful, kind, and reasonably priced.",6.054506513220935,1,0.9998431205749512
