sentence	label
` moore is like a progressive bull in a china shop , a provocateur crashing into ideas and special-interest groups as he slaps together his own brand of liberalism . '	0
the history is fascinating ; the action is dazzling .	1
it 's sort of a 21st century morality play with a latino hip hop beat .	1
a brisk , reverent , and subtly different sequel .	1
the irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts .	0
this is an interesting movie ! ''	1
like its parade of predecessors , this halloween is a gory slash-fest .	1
enough said , except : film overboard !	0
seagal ran out of movies years ago , and this is just the proof .	0
humor in i spy is so anemic .	0
those prone to indignation need not apply ; those susceptible to blue hilarity , step right up .	1
that the film opens with maggots crawling on a dead dog is not an out of place metaphor .	0
i ca n't say this enough : this movie is about an adult male dressed in pink jammies .	0
never comes together as a coherent whole .	0
it 's a square , sentimental drama that satisfies , as comfort food often can .	1
... feels as if (there 's) a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .	0
peralta captures , in luminous interviews and amazingly evocative film from three decades ago , the essence of the dogtown experience .	1
` what 's the russian word for wow !? '	1
highly uneven and inconsistent ... margarita happy hour kinda resembles the el cheapo margaritas served within .	0
uplifting as only a document of the worst possibilities of mankind can be , and among the best films of the year .	1
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .	1
despite its visual virtuosity , ` naqoyqatsi ' is banal in its message and the choice of material to convey it .	0
he seems to want both , but succeeds in making neither .	0
it 's not a motion picture ; it 's an utterly static picture .	0
the kind of primal storytelling that george lucas can only dream of .	1
this movie , a certain scene in particular , brought me uncomfortably close to losing my lunch .	0
most of the storylines feel like time fillers between surf shots .	0
the biggest problem with roger avary 's uproar against the mpaa is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything .	0
even though it 's common knowledge that park and his founding partner , yong kang , lost kozmo in the end , you ca n't help but get caught up in the thrill of the company 's astonishing growth .	1
a rumor of angels does n't just slip -- it avalanches into forced fuzziness .	0
since dahmer resorts to standard slasher flick thrills when it should be most in the mind of the killer , it misses a major opportunity to be truly revelatory about his psyche .	0
a marvelous performance by allison lohman as an identity-seeking foster child .	1
decent but dull .	0
the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story .	1
it 's not too fast and not too slow .	1
the cast ... keeps this pretty watchable , and casting mick jagger as director of the escort service was inspired .	1
becomes a bit of a mishmash : a tearjerker that does n't and a thriller that wo n't .	0
a backhanded ode to female camaraderie penned by a man who has little clue about either the nature of women or of friendship .	0
the scriptwriters are no less a menace to society than the film 's characters .	0
for a long time the film succeeds with its dark , delicate treatment of these characters and its unerring respect for them .	1
a fan film that for the uninitiated plays better on video with the sound turned down .	0
a hit - and-miss affair , consistently amusing but not as outrageous or funny as cho may have intended or as imaginative as one might have hoped .	0
béart and berling are both superb , while huppert ... is magnificent .	1
the master of disguise is awful .	0
what lifts the film high above run-of-the-filth gangster flicks is its refusal to recognise any of the signposts , as if discovering a way through to the bitter end without a map .	1
methodical , measured , and gently tedious in its comedy , secret ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain .	1
the film gets close to the chimps the same way goodall did , with a serious minded patience , respect and affection .	1
the movie is so thoughtlessly assembled .	1
there is a freedom to watching stunts that are this crude , this fast-paced and this insane .	1
bogdanovich puts history in perspective and , via kirsten dunst 's remarkable performance , he showcases davies as a young woman of great charm , generosity and diplomacy .	1
one of those terrific documentaries that collect a bunch of people who are enthusiastic about something and then figures out how to make us share their enthusiasm .	1
blue crush follows the formula , but throws in too many conflicts to keep the story compelling .	0
this is no `` waterboy ! ''	0
woody allen can write and deliver a one liner as well as anybody .	1
why , you may ask , why should you buy the movie milk when the tv cow is free ?	0
... a weak and ineffective ghost story without a conclusion or pay off .	0
your 20th outing shows off a lot of stamina and vitality , and get this , madonna 's cameo does n't suck !	1
this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it .	1
plays like a glossy melodrama that occasionally verges on camp .	0
baby-faced renner is eerily convincing as this bland blank of a man with unimaginable demons within .	1
nicholson 's understated performance is wonderful .	1
its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy viewing .	1
the star who helped give a spark to `` chasing amy '' and `` changing lanes '' falls flat as thinking man cia agent jack ryan in this summer 's new action film , `` the sum of all fears . ''	0
playing a role of almost bergmanesque intensity ... bisset is both convincing and radiant .	1
admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form .	1
a kilted jackson is an unsettling sight , and indicative of his , if you will , out-of-kilter character , who rambles aimlessly through ill-conceived action pieces .	0
for all of its insights into the dream world of teen life , and its electronic expression through cyber culture , the film gives no quarter to anyone seeking to pull a cohesive story out of its 2 1\/2 - hour running time .	0
it certainly wo n't win any awards in the plot department but it sets out with no pretensions and delivers big time .	1
it dabbles all around , never gaining much momentum .	0
gooding offers a desperately ingratiating performance .	0
more good than great but freeman and judd make it work .	1
polanski has found the perfect material with which to address his own world war ii experience in his signature style .	1
the entire cast is first-rate , especially sorvino .	1
clooney directs this film always keeping the balance between the fantastic and the believable ...	1
the script has less spice than a rat burger and the rock 's fighting skills are more in line with steven seagal .	0
the wonderfully lush morvern callar is pure punk existentialism , and ms. ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh 's book trainspotting .	1
a woefully dull , redundant concept that bears more than a whiff of exploitation , despite iwai 's vaunted empathy .	0
roman polanski 's autobiographical gesture at redemption is better than ` shindler 's list ' - it is more than merely a holocaust movie .	1
generates an enormous feeling of empathy for its characters .	1
spielberg 's picture is smarter and subtler than (total recall and blade runner) , although its plot may prove too convoluted for fun-seeking summer audiences .	1
a fleet-footed and pleasingly upbeat family diversion .	1
although mainstream american movies tend to exploit the familiar , every once in a while a film arrives from the margin that gives viewers a chance to learn , to grow , to travel .	1
that 's fun for kids of any age .	1
paid in full is remarkably engaging despite being noticeably derivative of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks .	1
a suffocating rape-payback horror show that hinges on the subgenre 's most enabling victim ... and an ebullient affection for industrial-model meat freezers .	1
mr. deeds is , as comedy goes , very silly -- and in the best way .	1
this bond film goes off the beaten path , not necessarily for the better .	0
most of the things that made the original men in black such a pleasure are still there .	1
(reno) delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .	1
schrader examines crane 's decline with unblinking candor .	1
while we no longer possess the lack-of-attention span that we did at seventeen , we had no trouble sitting for blade ii .	1
the movie is well done , but slow .	0
there 's nothing to gain from watching they .	0
those who want to be jolted out of their gourd should drop everything and run to ichi .	1
drumline ably captures the complicated relationships in a marching band .	1
it must be the end of the world : the best film so far this year is a franchise sequel starring wesley snipes .	1
what we have is a character faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance .	0
not only a reminder of how they used to make movies , but also how they sometimes still can be made .	1
with an admirably dark first script by brent hanley , paxton , making his directorial feature debut , does strong , measured work .	1
it makes compelling , provocative and prescient viewing .	1
the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .	1
sweet home alabama is n't going to win any academy awards , but this date-night diversion will definitely win some hearts .	1
rice is too pedestrian a filmmaker to bring any edge or personality to the rising place that would set it apart from other deep south stories .	0
(a) boldly stroked , luridly coloured , uni-dimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain .	0
director david fincher and writer david koepp ca n't sustain it .	0
the film never finds its tone and several scenes run too long .	0
i also believe that resident evil is not it .	0
a ` girls gone wild ' video for the boho art-house crowd , the burning sensation is n't a definitive counter-cultural document -- its makers are n't removed and inquisitive enough for that .	0
what sets ms. birot 's film apart from others in the genre is a greater attention to the parents -- and particularly the fateful fathers -- in the emotional evolution of the two bewitched adolescents .	1
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic .	0
it 's refreshing to see a movie that embraces its old-fashioned themes and in the process comes out looking like something wholly original .	1
the film is one of the year 's best .	1
`` mr. deeds '' is suitable summer entertainment that offers escapism without requiring a great deal of thought .	1
she is a lioness , protecting her cub , and he a reluctant villain , incapable of controlling his crew .	1
if you 're over 25 , have an iq over 90 , and have a driver 's license , you should be able to find better entertainment .	0
for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough .	1
beautifully filmed and well acted ... but admittedly problematic in its narrative specifics .	1
sayles ... once again strands his superb performers in the same old story .	0
too bad .	0
... stumbles over every cheap trick in the book trying to make the outrage come even easier .	0
the movie is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt-trip parents .	0
the film reminds me of a vastly improved germanic version of my big fat greek wedding -- with better characters , some genuine quirkiness and at least a measure of style .	1
overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone .	1
a journey that is as difficult for the audience to take as it is for the protagonist -- yet it 's potentially just as rewarding .	1
scherfig , who has had a successful career in tv , tackles more than she can handle .	0
it sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations .	0
an intriguing look at the french film industry during the german occupation ; its most delightful moments come when various characters express their quirky inner selves .	1
... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .	0
about one in three gags in white 's intermittently wise script hits its mark ; the rest are padding unashamedly appropriated from the teen-exploitation playbook .	0
with an obvious rapport with her actors and a striking style behind the camera , hélène angel is definitely a director to watch .	1
this is a stunning film , a one-of-a-kind tour de force .	1
apparently reassembled from the cutting-room floor of any given daytime soap .	0
it 's refreshing that someone understands the need for the bad boy ; diesel , with his brawny frame and cool , composed delivery , fits the bill perfectly .	1
if you answered yes , by all means enjoy the new guy .	1
if you 're a fan of the series you 'll love it and probably want to see it twice .	1
a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .	0
not even felinni would know what to make of this italian freakshow .	0
shatner is probably the funniest person in the film , which gives you an idea just how bad it was .	0
the screenplay by james eric , james horton and director peter o'fallon ... is so pat it makes your teeth hurt .	0
does an impressive job of relating the complicated history of the war and of filling in the background .	1
what they 're doing is a matter of plumbing arrangements and mind games , of no erotic or sensuous charge .	0
`` looking for leonard '' just seems to kinda sit in neutral , hoping for a stiff wind to blow it uphill or something .	0
essentially `` fatal attraction '' remade for viewers who were in diapers when the original was released in 1987 .	0
the main story ... is compelling enough , but it 's difficult to shrug off the annoyance of that chatty fish .	0
a macabre and very stylized swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters .	1
funny , somber , absurd , and , finally , achingly sad , bartleby is a fine , understated piece of filmmaking .	1
trouble every day is a success in some sense , but it 's hard to like a film so cold and dead .	0
the most repugnant adaptation of a classic text since roland joffé and demi moore 's the scarlet letter .	0
if you 're burnt out on it 's a wonderful life marathons and bored with a christmas carol , it might just be the movie you 're looking for .	1
vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role .	1
technically and artistically inept .	0
the film boasts at least a few good ideas and features some decent performances , but the result is disappointing .	1
a compelling film .	1
final verdict : you 've seen it all before .	0
it does n't really know or care about the characters , and uses them as markers for a series of preordained events .	0
the movie is almost completely lacking in suspense , surprise and consistent emotional conviction .	0
with its parade of almost perpetually wasted characters ... margarita feels like a hazy high that takes too long to shake .	0
