label	title	content
3	Jesús Herrera Alonso	 Jesús 'Chus' Herrera Alonso (5 February 1938 – 20 October 1962) was a Spanish footballer who played as a forward.
3	Charles Bernard (cricketer)	 Charles Albert Bernard (1876–1953) was a first-class cricketer who made 33 appearances for Somerset between 1896 and 1901. He made his top-score of 122 in the first-innings of the 1900 County Championship match against Hampshire at the County Ground Southampton.Bernard first played for Somerset in a 12-a-side first-class match with Oxford University in 1896 batting in the lower order without success.
3	Juan Castro	 Juan Gabriel Castro (born June 20 1972 in Los Mochis Mexico) is a former Mexican Major League Baseball infielder. He played for the Los Angeles Dodgers Cincinnati Reds Minnesota Twins Baltimore Orioles and Philadelphia Phillies during his career. Castro batted and threw right-handed. He was known for his defensive ability during his career.
3	Davis Love III	 Davis Milton Love III (born April 13 1964) is an American professional golfer who has won 20 events on the PGA Tour including one major championship: the 1997 PGA Championship. He also won the prestigious Players Championship in 1992 and 2003.
3	Ron Tingley	 Ronald Irvin Tingley (born May 27 1959) is a former professional baseball catcher. He played all or part of nine seasons in Major League Baseball between 1982 and 1995.Drafted by the San Diego Padres in the 10th round of the 1977 MLB amateur draft Tingley made his major league debut with the San Diego Padres on September 25 1982. He then returned to minor league baseball for nearly six years before returning to the majors in 1988. He appeared in his final game on September 27 1995.
3	Ronnie Silver	 Ronnie Silver (born July 20 1951) is a former American stock car racer and crew chief. He raced in the NASCAR Busch Series for eight seasons winning two races.
3	Tom Tuckey	 Thomas Henry Tuckey (1884–1950) nicknamed Tabasco Tom was a Major League Baseball pitcher who played for the Boston Doves in 1908 and 1909.
3	Anaru Kitchen	 Anaru Kyle Kitchen (born 21 February 1984) is a New Zealand cricketer who plays for the Auckland cricket team. He is a right-handed middle-order batsman and a slow left-arm orthodox bowler. He made his debut for Auckland in their list A match against Canterbury in December 2008 top scoring with 69 from 104 balls.
3	Roger Gyselinck	 Roger Gyselinck (17 September 1920 – 5 January 2002) was a Belgian racing cyclist. He raced in the 1947 Tour de France.
3	Akira Lenting	 Akira Lenting (レンティング陽 born August 11 1990 in Shinano Nagano Japan) is a cross country skier from Japan. He competed for Japan at the 2014 Winter Olympics in the cross country skiing events.
3	Joe Klopfenstein	 Joe Klopfenstein (born November 9 1983) is an American football tight end who is currently a free agent. He was drafted by the St. Louis Rams in the second round of the 2006 NFL Draft. He played college football at Colorado.
3	Jenny Guerrero	 Jenny Rose Guerrero (born October 10 1984 in Muntinlupa City) is a retired Filipino swimmer who specialized in breaststroke events. She represented the Philippines as the youngest ever athlete of the squad (aged 14) at the 2000 Summer Olympics.
3	Emerson Gomes de Moura	 Emerson Gomes de Moura or simply Memo (born February 11 1988 in Bonito) is a Brazilian defensive midfielder. He currently plays for the Santa Cruz.
3	Marco Vidal	 Marco Vidal (born February 21 1986 in Dallas Texas) is a Mexican-American professional soccer player who currently plays for Lobos BUAP.Vidal has played for C.F. Ciudad Juárez in the Primera División de México however he was unable to prevent the club from being relegated following the close of the 2010 tournament.
3	Vasili Stan	 Vasili Dmitriyevich Stan (Russian: Василий Дмитриевич Стан; born May 17 1990) is a Russian professional football player. In 2009 he played in the Russian Second Division for FC Taganrog.
3	Bruce Hocker	 Bruce William Hocker (born August 6 1894) was a Negro Leagues first baseman for several years before the founding of the first Negro National League.
0	Communion (music)	 Communion is an artist-led organisation that combines elements of live promotion publishing records and production. The organisation is intended as a hub for songwriters and musicians to develop and flourish within the music industry.
0	Racal	 Racal Electronics plc was once the third-largest British electronics firm.Listed on the London Stock Exchange and once a constituent of the FTSE 100 Index Racal was a diversified company offering products including: as voice and data recorders; point of sale terminals; laboratory instruments; military electronics including radio and radar. At its height it operated throughout 110 countries world-wide and employed over 30000 people.
0	Infomedia Nusantara	 PT Infomedia Nusantara is a company that publishes telephone directories in Indonesia.It was founded in the 1980s and released the PT Elnusa Yellowpages in 1984.
0	Symbion Power	 Symbion Power is a US power engineering and construction firm that has extensive operations in Iraq and Afghanistan. Since 2005 Symbion has been responsible for the construction of transmission and distribution facilities throughout Iraq. In 2005/2006 the company was awarded $250m of US funded competitively bid reconstruction work. Symbion is rated in the top 10 US firms using IRRF funds.
0	AutoMotionTV	 AutoMotionTV is a Mobile Application Management (MAM) company built specifically for automotive product manufacturers.
0	Bigelow Tea Company	 R.C. Bigelow Inc better known as the Bigelow Tea Company is an American tea company based in Fairfield Connecticut. The company was founded by Ruth C. Bigelow in the late 1940s based on a recipe she marketed as Constant Comment tea. Bigelow is still a 100% family-owned business that markets over 50 varieties of tea including black and green as well as herbal teas all of which are still blended in Fairfield. They also own America's only tea plantation in Charleston South Carolina.
0	Metro Area Transit	 Metro Transit previously known as Metro Area Transit is the local mass transportation provider in Omaha Nebraska. Metro currently operates around 135 buses throughout the Omaha-Council Bluffs metropolitan area including the communities of Bellevue Ralston LaVista and Papillion in Nebraska as well as Council Bluffs Iowa.
0	Algoma Central	 The Algoma Central Corporation (TSX: ALC) is the result of a reorganization of the Algoma Central Railway in 1990. The company claims assets in excess of $400 million and revenue of $280 million. Corporate headquarters is located in St. Catharines Ontario Canada.
0	Anglesey Aluminium	 Anglesey Aluminium Metal Ltd which shut down on 30 September 2009 was a joint venture between the Rio Tinto Group and Kaiser Aluminium.Its aluminium smelter located on the outskirts of Holyhead was one of the largest employers in North Wales with 540 staff members and began to produce aluminium in 1971.
